Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo identidad,Pre,emp,16,Alegría,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,16,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,17,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,17,Enojo,Comisión,8,0.5714285714285714
Grupo identidad,Pre,emp,17,Enojo,Omisión,5,0.35714285714285715
Grupo identidad,Pre,emp,18,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,18,Enojo,Comisión,12,0.8571428571428571
Grupo identidad,Pre,emp,18,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,19,Tristeza,Acierto,7,0.5
Grupo identidad,Pre,emp,19,Tristeza,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,19,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,20,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,20,Enojo,Comisión,9,0.6428571428571429
Grupo identidad,Pre,emp,20,Enojo,Omisión,4,0.2857142857142857
Grupo identidad,Pre,emp,21,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,21,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,21,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,22,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Pre,emp,22,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,22,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,23,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,23,Tristeza,Comisión,4,0.2857142857142857
